year,county,mares,coverings,foals
1999,CARLOW,38,197,162
1999,CAVAN,42,193,102
1999,CLARE,93,348,259
1999,CORK,134,606,389
1999,DONEGAL,76,182,107
1999,DUBLIN,46,76,57
1999,GALWAY,170,726,478
1999,KERRY,73,179,121
1999,KILDARE,64,148,118
1999,KILKENNY,86,353,249
1999,LAOIS,41,168,122
1999,LEITRIM,29,94,60
1999,LIMERICK,39,186,124
1999,LONGFORD,37,109,74
1999,LOUTH,16,102,70
1999,MAYO,60,262,149
1999,MEATH,67,169,116
1999,MONAGHAN,72,345,190
1999,OFFALY,50,171,127
1999,ROSCOMMON,39,198,135
1999,SLIGO,39,151,96
1999,TIPPERARY,86,419,313
1999,WATERFORD,40,149,106
1999,WESTMEATH,56,195,121
1999,WEXFORD,103,418,303
1999,WICKLOW,61,223,163
1999,NORTHERN IRELAND,234,683,403
1999,ABROAD,73,53,18
2004,CARLOW,30,172,139
2004,CAVAN,108,217,150
2004,CLARE,155,505,420
2004,CORK,232,509,405
2004,DONEGAL,87,212,155
2004,DUBLIN,74,98,77
2004,GALWAY,343,856,602
2004,KERRY,105,260,194
2004,KILDARE,104,165,135
2004,KILKENNY,110,351,288
2004,LAOIS,61,226,180
2004,LEITRIM,32,87,58
2004,LIMERICK,70,232,175
2004,LONGFORD,58,159,133
2004,LOUTH,38,88,50
2004,MAYO,123,327,225
2004,MEATH,73,140,98
2004,MONAGHAN,83,329,234
2004,OFFALY,99,165,134
2004,ROSCOMMON,119,226,164
2004,SLIGO,74,177,134
2004,TIPPERARY,220,551,428
2004,WATERFORD,69,181,137
2004,WESTMEATH,94,171,122
2004,WEXFORD,179,462,398
2004,WICKLOW,128,272,226
2006,CARLOW,78,203,155
2006,CAVAN,70,271,195
2006,CLARE,189,637,490
2006,CORK,221,650,472
2006,DONEGAL,91,237,152
2006,DUBLIN,88,129,92
2006,GALWAY,388,1106,760
2006,KERRY,120,248,183
2006,KILDARE,109,126,95
2006,KILKENNY,144,382,313
2006,LAOIS,90,229,168
2006,LEITRIM,43,120,98
2006,LIMERICK,114,271,193
2006,LONGFORD,74,166,115
2006,LOUTH,36,94,66
2006,MAYO,181,435,280
2006,MEATH,100,153,108
2006,MONAGHAN,90,335,247
2006,OFFALY,105,219,147
2006,ROSCOMMON,130,335,241
2006,SLIGO,92,236,185
2006,TIPPERARY,212,678,493
2006,WATERFORD,104,206,155
2006,WESTMEATH,87,214,150
2006,WEXFORD,216,484,393
2006,WICKLOW,116,372,269
2006,NORTHERN IRELAND,399,817,585
2006,ABROAD,188,64,48
2007,CARLOW,58,202,154
2007,CAVAN,68,297,207
2007,CLARE,151,644,508
2007,CORK,200,687,512
2007,DONEGAL,82,271,171
2007,DUBLIN,60,131,87
2007,GALWAY,315,1227,865
2007,KERRY,118,325,236
2007,KILDARE,74,184,140
2007,KILKENNY,129,397,317
2007,LAOIS,67,282,175
2007,LEITRIM,28,137,112
2007,LIMERICK,102,305,209
2007,LONGFORD,50,177,105
2007,LOUTH,29,111,64
2007,MAYO,140,455,307
2007,MEATH,77,196,149
2007,MONAGHAN,87,340,204
2007,OFFALY,78,220,165
2007,ROSCOMMON,98,349,253
2007,SLIGO,75,258,192
2007,TIPPERARY,181,710,544
2007,WATERFORD,69,230,189
2007,WESTMEATH,83,247,187
2007,WEXFORD,191,584,471
2007,WICKLOW,131,405,304
2007,NORTHERN IRELAND,380,870,585